mp_id,party,sex,age,highedu,phd,Terms,business,law,leadingpos,Committees,job,money,beauty,competence,likability,trustworthy,intelligence
1,FDP,0,30,1,0,1,0,0,0,2,2,0,2.625,2.590909,2.833333,3,2.571429
2,CDUCSU,0,55,1,0,5,0,0,1,4,3,0,4.217391,3.181818,4.043478,3.863636,3
3,FDP,0,55,0,1,2,0,0,0,2,0,0,2.913043,2.454545,2.869565,2.727272,2.5238099
4,FDP,0,42,1,0,1,0,1,0,2,7,0,3.869565,2.727272,2.695652,2.409091,2.428571
5,CDUCSU,1,41,0,0,3,0,0,0,0,6,0,2.727272,2.894737,2.681818,2.7,2.8499999
6,SPD,1,52,0,1,2,0,0,0,2,5,0,3.521739,3.0476191,3.304348,3.0476191,2.761905
7,CDUCSU,0,49,1,0,1,0,1,0,1,5,1000,3.7142861,3.3499999,2.4761901,2.904762,3.095238
8,CDUCSU,0,47,1,0,4,0,1,1,0,4,7000,4.1999998,3,3.6500001,3.75,2.75
9,SPD,0,43,1,0,1,0,0,0,4,0,0,3.8499999,3,3,3.4000001,3
10,GREEN,1,37,1,0,2,1,0,0,1,3,0,2,2.571429,2.428571,2.8571429,2.571429
11,SPD,0,54,0,0,6,0,0,1,1,7,7000,3.75,2.7,3.3499999,3.1500001,2.45
12,SPD,0,32,0,0,1,0,0,0,1,2,0,2.5789471,2.5,3.105263,3.210526,2.789474
13,SPD,1,44,1,0,3,1,0,1,2,0,0,2.833333,3.083333,2.666666,2.833333,3.083333
14,SPD,0,55,1,0,3,0,0,0,1,0,0,3.3684211,2.6111109,2.5789471,3.0526321,2.6315789
15,LINKE,0,43,0,0,1,0,0,0,1,0,0,4.0526319,3.277777,3.105263,3.210526,2.789474
16,FDP,0,29,1,0,2,1,0,0,1,1,0,2.166666,3.166666,3.166666,3.833333,3
17,SPD,0,60,1,0,4,0,0,0,2,0,0,3.789474,2.5,3.7368419,3.2631581,2.3684211
18,CDUCSU,1,27,1,0,2,0,0,0,3,2,0,2.105263,2.7222221,2.315789,2.5789471,2.684211
19,CDUCSU,0,30,1,0,1,1,0,0,2,2,0,2.5,3.4117651,3.4444439,3.7222221,3.333333
20,SPD,1,52,1,0,4,0,1,0,6,4,0,3,2.470588,2.9444439,2.666666,2.666666
21,SPD,0,44,0,1,3,0,0,0,1,0,0,3.166666,2.7647059,3,2.833333,2.5
22,FDP,0,41,1,0,1,0,0,1,1,0,0,3.5,3.1176469,3.4444439,3.3888879,3.277777
23,SPD,0,50,1,0,4,0,0,0,2,4,0,3.5,3.416666,3.75,3.666666,3.5
24,CDUCSU,0,53,1,0,3,0,0,0,2,5,0,2.7222221,2.529412,2.2222221,2.6111109,2.666666
25,SPD,0,31,1,0,2,0,0,1,1,2,0,3.277777,2.823529,3.0555551,3.0555551,2.666666
26,LINKE,0,47,0,1,2,1,0,0,1,1,1000,3.7222221,2.647059,3.4444439,3.1111109,2.777777
27,SPD,1,30,1,0,2,0,0,0,0,3,1000,2.428571,2.571429,2.1428571,2.2857139,2.2857139
28,CDUCSU,0,66,0,1,6,0,0,0,3,11,0,3.75,3.166666,4.083333,3.833333,3.166666
29,CDUCSU,0,58,1,0,3,0,0,0,2,7,0,4.1764712,3,4,3.647059,2.9411759
30,GREEN,1,53,1,0,6,0,0,0,2,2,0,2.7058821,2.8125,2.352941,2.647059,2.7647059
31,GREEN,0,45,0,0,4,0,0,0,3,10,0,3.375,2.7333331,2.75,2.8125,2.5
32,CDUCSU,0,60,1,0,2,0,0,0,1,1,0,3.166666,2.666666,2.666666,3.083333,2.916666
33,SPD,0,39,1,0,1,0,0,0,1,2,0,3.5333331,3.5999999,3.5999999,3.8666661,3.333333
34,SPD,0,56,1,0,2,0,0,1,2,4,72.916664,3.75,3.333333,3.333333,3.333333,3.416666
35,GREEN,1,54,1,0,2,0,0,0,3,1,0,3.333333,2.916666,3.083333,2.833333,2.916666
36,CDUCSU,1,45,1,0,2,1,0,0,1,0,0,2.2,3.2,3,3.133333,3.2
37,GREEN,1,49,1,0,2,0,1,0,1,1,0,4,3.583333,3.75,3.166666,3.416666
38,SPD,0,58,1,0,2,0,1,0,4,6,496.54166,3.9333329,3.333333,3.7333331,3.5333331,3.4000001
39,SPD,0,46,0,1,3,0,1,0,1,11,0,2.333333,2.5333331,2.4000001,2.5999999,2.466666
40,SPD,1,52,1,0,2,0,0,1,2,4,0,3.846154,3.5384619,3.6923079,3.2307689,3.2307689
41,CDUCSU,0,57,0,1,2,0,0,1,0,3,7000,4.1428752,3.1428571,3.6428571,3.6428571,3
42,CDUCSU,0,63,1,0,3,0,0,1,1,10,2937.5,3.5,3.416666,3.916666,4,3.25
43,GREEN,1,30,1,0,3,0,0,0,1,3,0,3.3846149,3.153846,2.9230771,2.6923079,3
44,SPD,1,45,1,0,3,0,0,1,1,6,0,2.416666,2.583333,2.166666,2.5,2.75
45,LINKE,1,48,0,0,1,0,0,0,1,1,0,3.153846,2.9230771,3.4615381,3,2.9230771
46,SPD,0,55,1,0,3,0,0,0,1,1,0,3.428571,2.7142861,3,3.1428571,2.2857139
47,CDUCSU,0,43,1,0,2,0,0,0,1,1,0,3.5384619,3.2307689,3.4615381,3.2307689,3.153846
48,LINKE,0,64,0,1,1,0,0,1,1,1,1000,3,2.846154,2.6153851,2.6153851,2.6923079
49,CDUCSU,0,44,0,0,2,0,0,0,2,6,4083.3333,3.166666,2.833333,2.833333,3.333333,3.166666
50,CDUCSU,1,64,0,0,5,0,0,0,2,0,0,3.6923079,3.153846,2.846154,2.6923079,3.0769229
51,CDUCSU,0,53,0,0,5,0,0,0,1,6,1000,3.6153851,3.3076921,3.6153851,3.7692311,3.3076921
52,LINKE,1,47,1,0,1,0,0,0,2,5,0,2.5,3,2.5,2.5,2.833333
53,CDUCSU,1,58,0,0,3,0,0,0,3,5,0,3.7692311,3.3076921,3.0769229,2.9230771,3.3846149
54,SPD,0,59,0,0,1,0,0,0,1,3,0,3.7692311,2.846154,2.7692311,2.7692311,2.6153851
55,SPD,0,50,0,0,3,0,0,1,2,7,1166.6666,4.083333,2.833333,3.833333,3.666666,2.5
56,CDUCSU,1,55,0,1,5,0,0,1,0,4,7000,2.75,3,2.166666,2.416666,3
57,SPD,0,57,1,0,1,0,0,0,2,3,1000,3.9230771,2.6923079,2.6923079,2.6923079,2.6923079
58,SPD,0,58,1,0,2,0,0,0,1,0,0,4.083333,3.416666,3.833333,3.75,3.333333
59,GREEN,0,30,0,0,2,0,0,1,3,2,0,3.0769229,3.6153851,3.0769229,3.5384619,3.2307689
60,CDUCSU,0,65,1,0,8,0,0,0,1,12,3500,3.6923079,2.9230771,3.0769229,3.0769229,2.6153851
61,CDUCSU,0,63,1,0,6,0,0,1,2,4,0,3.2307689,2.846154,3.2307689,3.2307689,2.6923079
62,CDUCSU,0,53,1,0,4,0,1,1,0,5,1583.3334,3.083333,2.75,3.25,3.333333,2.833333
63,SPD,0,50,0,1,2,0,0,0,2,1,0,4,3.7692311,3.846154,3.6153851,3.6153851
64,CDUCSU,0,48,0,0,5,0,0,0,2,5,0,3.4615381,2.9230771,3,3,3.2307689
65,CDUCSU,0,32,1,0,1,0,0,0,2,1,0,4.1538458,3.3076921,3.6923079,3.5384619,3.3076921
66,SPD,0,56,0,0,3,0,0,0,0,7,4083.3333,4.4615378,3.3846149,3.3076921,3.153846,3.153846
67,CDUCSU,0,55,1,0,2,0,1,0,2,2,0,3.846154,3.3846149,3.846154,3.7692311,3.6153851
68,SPD,0,54,1,0,3,1,0,0,1,8,0,3.3076921,3.3076921,3.153846,3,3.2307689
69,CDUCSU,0,38,0,1,3,0,0,0,1,9,145.83333,3.6153851,2.846154,3.2307689,3.3076921,2.9230771
70,SPD,0,53,0,0,3,0,0,0,2,5,0,3.153846,2.4615381,3.0769229,2.846154,2.6923079
71,FDP,0,60,1,0,3,0,0,1,1,6,0,3.90909,3.272727,3.545454,3.454545,3.272727
72,CDUCSU,1,54,0,0,2,1,0,0,2,7,0,4.166666,3.5,3.5,3.333333,3.333333
73,FDP,1,50,1,0,2,0,0,0,2,0,0,2.5384619,2.5384619,2.6923079,2.6153851,2.5384619
74,CDUCSU,0,57,1,0,5,0,0,1,2,2,583.33331,4.416666,3.333333,3.666666,3.833333,3.25
75,LINKE,1,49,0,0,3,0,0,1,2,0,0,3.8,3.5999999,3.2,3.2,3.2
76,SPD,1,54,1,0,6,0,0,1,1,2,1166.6666,2.8,2.8,3.5999999,3.2,2.8
77,SPD,0,34,0,0,2,0,0,0,1,3,0,2.8,2.8,2.5999999,3.2,2.5999999
78,LINKE,1,54,0,1,1,0,0,1,1,0,0,3.2,2.4000001,3,2.4000001,2.2
79,SPD,1,51,1,0,5,0,0,1,1,7,0,2.636363,2.818181,2.636363,2.818181,2.90909
80,FDP,0,56,1,0,3,0,0,0,5,4,0,3.8,3,3,2.8,3.2
81,SPD,0,41,0,0,1,0,0,0,1,2,1000,4,3.4000001,4,4,3.5999999
82,SPD,0,63,0,1,4,0,1,0,3,2,0,3.2,2.4000001,3.2,3.5999999,2.4000001
83,CDUCSU,0,54,1,0,3,0,0,0,1,3,0,3.5,2.833333,3.166666,3,2.833333
84,SPD,0,32,1,0,1,1,0,0,1,0,0,3.5999999,2.8,3.4000001,3.4000001,2.4000001
85,SPD,1,50,1,0,5,0,0,1,0,4,7000,3.818181,3.454545,3.272727,3,3.363636
86,LINKE,0,51,1,0,2,1,0,0,4,0,0,4,3.2,3.4000001,3.2,2.8
87,CDUCSU,1,41,1,0,2,0,1,1,2,9,0,2.5999999,3,2.5999999,2.8,3
88,LINKE,1,30,0,0,1,0,0,0,2,0,0,2.5999999,3.4000001,2.8,3.2,3.5999999
89,SPD,0,65,0,1,3,0,1,1,2,4,0,4.1999998,3.5,3.2,3.3,3.5
90,SPD,1,62,0,1,10,0,1,1,1,7,625,3.333333,3,3.1111109,3,2.666666
91,CDUCSU,0,55,1,0,3,1,0,1,3,6,5781.25,3.5999999,2.5999999,3.4000001,3.5999999,3
92,LINKE,0,55,0,1,2,0,0,1,1,5,0,3.8,3.5999999,4,3.8,3.5999999
93,CDUCSU,0,64,0,0,4,0,0,0,3,1,875,3.4000001,2.4000001,3.4000001,3.2,2.4000001
94,GREEN,1,34,1,0,3,0,0,1,2,4,0,2.8,3.2,3,2.8,3.2
95,SPD,0,64,1,0,6,0,0,1,0,3,7000,3.333333,3,2.833333,3,3
96,CDUCSU,0,35,1,0,2,0,0,0,1,4,0,3.5999999,3,3.4000001,3.2,3.2
97,CDUCSU,0,40,1,0,3,0,0,0,2,2,0,4.1999998,3.2,3,3.2,2.4000001
98,FDP,0,32,0,0,1,0,0,0,3,4,583.33331,3.8,3.5999999,3.2,3.2,3.5999999
99,SPD,0,43,1,0,2,0,1,0,2,1,0,2.8888879,3,3.333333,3.666666,3.1111109
100,CDUCSU,1,52,0,0,3,1,0,0,1,3,0,3.5,3.125,2.625,2.625,3.125
101,LINKE,0,58,0,0,1,0,0,0,1,4,4666.6665,4.4000001,3.5999999,4,3.5999999,3.5999999
